Ids	names
YGR195W  	"RRP41, ECM20                                         "
YGR198W  	                                                     
YGR211W  	                                                     
YGR216C  	                                                     
YGR218W  	"XPO1, KAP124                                         "
YGR245C  	                                                     
YGR246C  	"TDS4, PCF4                                           "
YGR251W  	                                                     
YGR253C  	DOA5                                                 
YGR264C  	MESI                                                 
YGR265W  	                                                     
YGR267C  	                                                     
YGR274C  	"TAF145, TAF130                                       "
YGR277C  	                                                     
YGR278W  	                                                     
YGR280C  	GNO1                                                 
YHL015W  	URP2                                                 
YHR005C-A	TIM10                                                
YHR007C  	CYP51                                                
YHR019C  	                                                     
YHR020W  	                                                     
YHR023W  	                                                     
YHR024C  	MIF2                                                 
YHR036W  	                                                     
YHR040W  	                                                     
YHR042W  	CPR1                                                 
YHR058C  	                                                     
YHR062C  	                                                     
YHR065C  	                                                     
YHR068W  	                                                     
YHR069C  	                                                     
YHR070W  	                                                     
YHR072W  	                                                     
YHR072W-A	                                                     
YHR074W  	                                                     
YHR083W  	"TOM38, TOB38, FMP20                                  "
YHR085W  	                                                     
YHR088W  	                                                     
YHR088W  	                                                     
YHR089C  	                                                     
YHR101C  	                                                     
YHR102W  	NRK1                                                 
YHR107C  	"PSL7, CLA10                                          "
YHR118C  	                                                     
YHR122W  	                                                     
YHR128W  	                                                     
YHR143W-A	RPB12                                                
YHR148W  	                                                     
YHR164C  	WEB2                                                 
YHR165C  	"USA2, SLT21, RNA8, DNA39, DBF3                      "
YHR166C  	                                                     
YHR169W  	                                                     
YHR170W  	SRC5                                                 
YHR172W  	                                                     
YHR186C  	LAS24                                                
YHR188C  	                                                     
YHR188C  	                                                     
YHR190W  	                                                     
YHR196W  	                                                     
YHR197W  	IPI2                                                 
YHR197W  	IPI2                                                 
YHR199C-A	                                                     
YIL003W  	DRE3                                                 
YIL004C  	SLY12                                                
YIL019W  	                                                     
YIL021W  	                                                     
YIL022W  	"MPI1, MIM44, ISP45                                   "
YIL026C  	SCC3                                                 
YIL031W  	SMT4                                                 
YIL046W  	ZRG11                                                
YIL048W  	                                                     
YIL051C  	IBM1                                                 
YIL061C  	                                                     
YIL062C  	                                                     
YIL063C  	                                                     
YIL068C  	                                                     
YIL075C  	SEN3                                                 
YIL078W  	                                                     
YIL083C  	                                                     
YIL091C  	                                                     
YIL104C  	                                                     
YIL106W  	                                                     
YIL106W  	                                                     
YIL109C  	ANU1                                                 
YIL115C  	"RAT7, NUP158                                         "
YIL118W  	                                                     
YIL126W  	NPS1                                                 
YIL129C  	PAG1                                                 
YIL142W  	"TCP2, BIN3                                           "
YIL143C  	"RAD25, LOM3                                          "
YIL144W  	"HEC1, NDC80                                          "
YIL147C  	YPD2                                                 
YIL150C  	DNA43                                                
YIL171W  	HXT12                                                
YIR006C  	"DIM2, MIP3, MDP3                                     "
YIR008C  	                                                     
YIR010W  	                                                     
YIR011C  	"SSM5, DBF8                                           "
YIR012W  	                                                     
YIR015W  	                                                     
YIR022W  	                                                     
YJL001W  	CRL21                                                
YJL002C  	NLT1                                                 
YJL005W  	"FIL1, TSM0185, SRA4, HSR1, CDC35                     "
YJL008C  	                                                     
YJL008C  	                                                     
YJL009W  	                                                     
YJL010C  	                                                     
YJL011C  	                                                     
YJL014W  	"TCP3, BIN2                                           "
YJL015C  	                                                     
YJL018W  	                                                     
YJL019W  	"YJL018W, NEP98                                       "
YJL025W  	                                                     
YJL026W  	CRT6                                                 
YJL031C  	                                                     
YJL032W  	                                                     
YJL033W  	"ECM24, DBP4                                          "
YJL034W  	GRP78                                                
YJL035C  	                                                     
YJL039C  	                                                     
YJL041W  	                                                     
YJL050W  	DOB1                                                 
YJL054W  	                                                     
YJL061W  	HRB187                                               
YJL069C  	                                                     
YJL072C  	CDC102                                               
YJL074C  	                                                     
YJL076W  	"SRM8, CFI1, ESC5                                     "
YJL081C  	ACT3                                                 
YJL085W  	                                                     
YJL086C  	                                                     
YJL087C  	"RLG1, LIG1                                           "
YJL090C  	                                                     
YJL091C  	                                                     
YJL097W  	                                                     
YJL104W  	"TIM16, MIA1                                          "
YJL109C  	                                                     
YJL111W  	TCP7                                                 
YJL125C  	TRM61                                                
YJL143W  	"SMS1, MPI2, MIM17                                    "
YJL156C  	                                                     
YJL167W  	"FPP1, FDS1, BOT3                                     "
YJL173C  	                                                     
YJL174W  	                                                     
YJL194W  	                                                     
YJL195C  	                                                     
YJL195C  	                                                     
YJL202C  	                                                     
YJL202C  	                                                     
YJL203W  	SPP91                                                
YJR002W  	                                                     
YJR006W  	"SDP5, POL31, HUS2                                    "
YJR007W  	                                                     
YJR012C  	                                                     
YJR013W  	PMH1                                                 
YJR016C  	                                                     
YJR017C  	"PIN1, PTF1                                           "
YJR022W  	                                                     
YJR023C  	                                                     
YJR041C  	NPA2                                                 
YJR042W  	RAT9                                                 
YJR045C  	"mtHSP70, ENS1                                        "
YJR046W  	"CDT1, SID2                                           "
YJR046W  	"CDT1, SID2                                           "
YJR057W  	                                                     
YJR064W  	TCP5                                                 
YJR065C  	ACT4                                                 
YJR067C  	                                                     
YJR068W  	                                                     
YJR072C  	EPA1                                                 
YJR076C  	PSL9                                                 
YJR089W  	                                                     
YJR093C  	                                                     
YJR112W  	                                                     
YJR123W  	                                                     
YJR141W  	                                                     
YKL004W  	                                                     
YKL006C-A	                                                     
YKL012W  	                                                     
YKL013C  	                                                     
YKL014C  	NPA1                                                 
YKL018W  	"SAF37, CPS35                                         "
YKL019W  	                                                     
YKL021C  	                                                     
YKL022C  	                                                     
YKL024C  	SOC8                                                 
YKL028W  	                                                     
YKL033W  	FMP47                                                
YKL035W  	                                                     
YKL036C  	                                                     
YKL042W  	                                                     
YKL045W  	                                                     
YKL049C  	CSL2                                                 
YKL049C  	CSL2                                                 
YKL052C  	                                                     
YKL058W  	                                                     
YKL059C  	                                                     
YKL060C  	LOT1                                                 
YKL078W  	                                                     
YKL082C  	                                                     
YKL083W  	                                                     
YKL088W  	                                                     
YKL089W  	                                                     
YKL095W  	CWC16                                                
YKL099C  	                                                     
YKL104C  	                                                     
YKL108W  	DRC1                                                 
YKL111C  	                                                     
YKL112W  	"SBF1, REB2, OBF1, BAF1                               "
YKL122C  	                                                     
YKL125W  	                                                     
YKL138C-A	                                                     
YKL141W  	"YKL4, CYB3                                           "
YKL144C  	YKL1                                                 
YKL145W  	"YTA3, CIM5                                           "
YKL152C  	                                                     
YKL153W  	                                                     
YKL154W  	                                                     
YKL165C  	"FSR2, SSU21, ZRG16                                   "
YKL172W  	                                                     
YKL172W  	                                                     
YKL173W  	GIN10                                                
YKL180W  	RPL17                                                
YKL182W  	                                                     
YKL186C  	                                                     
YKL189W  	                                                     
YKL192C  	                                                     
YKL193C  	EGP1                                                 
YKL195W  	"TIM40, FMP15                                         "
YKL196C  	                                                     
YKL203C  	DRR2                                                 
YKL210W  	                                                     
YKR002W  	                                                     
YKR004C  	YKR004C-A                                            
YKR008W  	                                                     
YKR022C  	                                                     
YKR025W  	                                                     
YKR037C  	                                                     
YKR038C  	                                                     
YKR062W  	                                                     
YKR063C  	                                                     
YKR068C  	                                                     
YKR071C  	                                                     
YKR079C  	                                                     
YKR081C  	                                                     
YKR083C  	HSK1                                                 
YKR086W  	                                                     
YLL003W  	                                                     
YLL004W  	                                                     
YLL008W  	                                                     
YLL011W  	                                                     
YLL018C  	                                                     
YLL031C  	MPC1                                                 
YLL034C  	                                                     
YLL035W  	                                                     
YLL036C  	PSO4                                                 
YLL037W  	                                                     
YLL050C  	                                                     
YLR002C  	                                                     
YLR005W  	                                                     
YLR007W  	                                                     
YLR008C  	TIM14                                                
YLR009W  	                                                     
YLR010C  	                                                     
YLR022C  	                                                     
YLR026C  	                                                     
YLR029C  	RPL10A                                               
YLR033W  	                                                     
YLR045C  	                                                     
YLR051C  	                                                     
YLR060W  	                                                     
YLR066W  	                                                     
YLR071C  	MED14                                                
YLR075W  	"QSR1, GRC5                                           "
YLR076C  	                                                     
YLR078C  	SEC32                                                
YLR086W  	                                                     
YLR088W  	END2                                                 
YLR099W-A	                                                     
YLR100W  	                                                     
YLR101C  	                                                     
YLR103C  	SLD4                                                 
YLR105C  	                                                     
YLR106C  	REA1                                                 
YLR115W  	YDH1                                                 
YLR116W  	                                                     
YLR117C  	"NTC77, SYF3                                          "
YLR127C  	RSI1                                                 
YLR129W  	UTP12                                                
YLR132C  	                                                     
YLR140W  	                                                     
YLR141W  	                                                     
YLR145W  	                                                     
YLR147C  	SLT16                                                
YLR153C  	                                                     
YLR163C  	MIF1                                                 
YLR166C  	                                                     
YLR167W  	"UBI3, RPS37                                          "
YLR175W  	                                                     
YLR186W  	NEP1                                                 
YLR186W  	NEP1                                                 
YLR195C  	CDC72                                                
YLR196W  	                                                     
YLR197W  	NOP56                                                
YLR198C  	                                                     
YLR208W  	ANU3                                                 
YLR212C  	                                                     
YLR215C  	                                                     
YLR222C  	                                                     
YLR223C  	                                                     
YLR229C  	                                                     
YLR230W  	                                                     
YLR243W  	                                                     
YLR249W  	TEF3                                                 
YLR259C  	"MIF4, CPN60                                          "
YLR272C  	LOC7                                                 
YLR274W  	"MCM5, BOB1                                           "
YLR275W  	                                                     
YLR276C  	                                                     
YLR277C  	BRR5                                                 
YLR291C  	                                                     
YLR293C  	"CST17, CNR1                                          "
YLR298C  	                                                     
YLR305C  	                                                     
YLR310C  	"CDC25', CTN1                                         "
YLR314C  	                                                     
YLR316C  	                                                     
YLR316C  	                                                     
YLR317W  	                                                     
YLR321C  	                                                     
YLR323C  	                                                     
YLR336C  	                                                     
YLR339C  	                                                     
YLR340W  	RPL10E                                               
YLR347C  	RSL1                                                 
YLR355C  	                                                     
YLR359W  	"BRA8, BRA1                                           "
YLR378C  	                                                     
YLR379W  	                                                     
YLR383W  	RHC18                                                
YLR397C  	DRG1                                                 
YLR409C  	                                                     
YLR424W  	"NTR1, CCF8                                           "
YLR430W  	"NRD2, CIK3                                           "
YLR438C-A	"USS2, SMX4                                           "
YLR440C  	                                                     
YLR457C  	                                                     
YLR458W  	                                                     
YLR459W  	CDC91                                                
YML010W  	                                                     
YML015C  	TAF40                                                
YML015C  	TAF40                                                
YML023C  	                                                     
YML023C  	                                                     
YML025C  	                                                     
YML031W  	                                                     
YML043C  	                                                     
YML046W  	                                                     
YML049C  	                                                     
YML064C  	                                                     
YML065W  	                                                     
YML069W  	                                                     
YML077W  	                                                     
YML085C  	                                                     
YML091C  	                                                     
YML092C  	                                                     
YML092C  	                                                     
YML093W  	                                                     
YML098W  	"TAF19, FUN81                                         "
YML105C  	                                                     
YML114C  	TAF65                                                
YML125C  	                                                     
YML126C  	HMGS                                                 
YML127W  	                                                     
YML130C  	                                                     
YMR001C  	"PKX2, MSD2                                           "
YMR005W  	"MPT1, TSG2, TAF48                                    "
YMR005W  	"MPT1, TSG2, TAF48                                    "
YMR013C  	                                                     
YMR028W  	                                                     
YMR033W  	"RSC12, SWP59                                         "
YMR033W  	"RSC12, SWP59                                         "
YMR043W  	FUN80                                                
YMR047C  	NSP116                                               
YMR047C  	NSP116                                               
YMR049C  	                                                     
YMR059W  	                                                     
YMR059W  	                                                     
YMR061W  	                                                     
YMR076C  	                                                     
YMR079W  	PIT1                                                 
YMR093W  	                                                     
YMR094W  	CBF3C                                                
YMR108W  	"THI1, SMR1                                           "
YMR108W  	"THI1, SMR1                                           "
YMR112C  	                                                     
YMR113W  	                                                     
YMR117C  	                                                     
YMR128W  	DHR1                                                 
YMR131C  	                                                     
YMR134W  	                                                     
YMR146C  	                                                     
YMR149W  	                                                     
YMR168C  	"CSL1, CBF3B, CBF3                                    "
YMR197C  	                                                     
YMR200W  	                                                     
YMR203W  	"MOM38, ISP42                                         "
YMR208W  	RAR1                                                 
YMR211W  	                                                     
YMR213W  	NTC85                                                
YMR218C  	                                                     
YMR220W  	                                                     
YMR227C  	TAF67                                                
YMR229C  	                                                     
YMR235C  	                                                     
YMR236W  	TAF17                                                
YMR239C  	                                                     
YMR240C  	                                                     
YMR260C  	                                                     
YMR268C  	                                                     
YMR270C  	                                                     
YMR277W  	                                                     
YMR281W  	                                                     
YMR288W  	                                                     
YMR290C  	                                                     
YMR290W-A	                                                     
YMR296C  	"TSC2, END8                                           "
YMR298W  	                                                     
YMR301C  	                                                     
YMR308C  	KAP121                                               
YMR309C  	                                                     
YMR314W  	                                                     
YNL002C  	RPL7                                                 
YNL006W  	                                                     
YNL007C  	                                                     
YNL024C-A	                                                     
YNL026W  	"TOB55, OMP85                                         "
YNL036W  	NCE3                                                 
YNL038W  	                                                     
YNL039W  	TFC5                                                 
YNL061W  	YNA1                                                 
YNL062C  	TRM6                                                 
YNL075W  	                                                     
YNL088W  	"TRF3, TOR3                                           "
YNL102W  	"HPR3, CRT5, CDC17                                    "
YNL103W  	                                                     
YNL110C  	                                                     
YNL112W  	                                                     
YNL112W  	                                                     
YNL113W  	                                                     
YNL114C  	                                                     
YNL118C  	PSU1                                                 
YNL124W  	                                                     
YNL126W  	                                                     
YNL126W  	                                                     
YNL131W  	"MOM22, MAS22, MAS17                                  "
YNL132W  	                                                     
YNL137C  	MNA6                                                 
YNL138W-A	RCP10                                                
YNL149C  	                                                     
YNL150W  	                                                     
YNL151C  	"RPC8, ACP2                                           "
YNL152W  	                                                     
YNL158W  	                                                     
YNL161W  	                                                     
YNL163C  	EFL1                                                 
YNL172W  	                                                     
YNL178W  	SUF14                                                
YNL181W  	                                                     
YNL182C  	                                                     
YNL188W  	                                                     
YNL189W  	"SCM1, KAP60                                          "
YNL207W  	                                                     
YNL216W  	"TUF1, TBA1, GRF1                                     "
YNL221C  	                                                     
YNL222W  	                                                     
YNL232W  	SKI4                                                 
YNL240C  	                                                     
YNL244C  	"RFR1, MOF2                                           "
YNL245C  	                                                     
YNL247W  	                                                     
YNL251C  	                                                     
YNL256W  	                                                     
YNL258C  	                                                     
YNL260C  	                                                     
YNL261W  	                                                     
YNL262W  	DUN2                                                 
YNL263C  	                                                     
YNL267W  	"PIK120, PIK41                                        "
YNL272C  	                                                     
YNL282W  	                                                     
YNL287W  	                                                     
YNL290W  	                                                     
YNL306W  	                                                     
YNL308C  	                                                     
YNL310C  	"HEP1, TIM15, FMP28                                   "
YNL312W  	"RPA2, BUF1                                           "
YNL313C  	                                                     
YNL317W  	                                                     
YNR003C  	                                                     
YNR011C  	RNA2                                                 
YNR016C  	"MTR7, FAS3, ABP2                                     "
YNR017W  	"TIM23, MPI3, MIM23                                   "
YNR026C  	SED2                                                 
YNR035C  	END9                                                 
YNR038W  	                                                     
YNR043W  	ERG19                                                
YNR046W  	                                                     
YNR053C  	                                                     
