Ids	names
YAL001C  	"TSV115, FUN24                                        "
YAL003W  	TEF5                                                 
YAL025C  	                                                     
YAL032C  	FUN20                                                
YAL033W  	FUN53                                                
YAL034W-a	"NSL2, DSN3                                           "
YAL035C-A	                                                     
YAL038W  	PYK1                                                 
YAL041W  	CLS4                                                 
YAL043C  	FUN39                                                
YAR007C  	"RPA1, FUN3, BUF2                                     "
YAR008W  	FUN4                                                 
YAR019C  	LYT1                                                 
YBL004W  	                                                     
YBL014C  	                                                     
YBL018C  	                                                     
YBL020W  	                                                     
YBL023C  	                                                     
YBL026W  	"SNP3, SMX5                                           "
YBL030C  	"OP1, ANC2, AAC2                                      "
YBL034C  	                                                     
YBL035C  	                                                     
YBL040C  	                                                     
YBL041W  	PRS3                                                 
YBL050W  	                                                     
YBL073W  	                                                     
YBL074C  	                                                     
YBL076C  	                                                     
YBL077W  	                                                     
YBL084C  	"SNB1, APC3                                           "
YBL092W  	                                                     
YBL097W  	                                                     
YBL105C  	"STT1, HPO2, CLY15                                    "
YBR002C  	                                                     
YBR004C  	FMP44                                                
YBR011C  	PPA1                                                 
YBR029C  	CDG1                                                 
YBR038W  	                                                     
YBR049C  	GRF2                                                 
YBR055C  	"TSM7269, RNA6                                        "
YBR060C  	"SIR5, RRR1                                           "
YBR070C  	                                                     
YBR079C  	TIF32                                                
YBR080C  	ANU4                                                 
YBR087W  	                                                     
YBR087W  	                                                     
YBR088C  	                                                     
YBR089W  	                                                     
YBR091C  	TIM12                                                
YBR102C  	USA3                                                 
YBR109C  	                                                     
YBR110W  	                                                     
YBR123C  	                                                     
YBR124W  	                                                     
YBR135W  	                                                     
YBR136W  	"SAD3, ESR1                                           "
YBR140C  	"PPD1, GLC1                                           "
YBR142W  	                                                     
YBR143C  	"SUP47, SUP1, SAL4                                    "
YBR152W  	                                                     
YBR153W  	                                                     
YBR154C  	                                                     
YBR155W  	                                                     
YBR160W  	"SRM5, HSL5, CDK1                                     "
YBR167C  	RPP2                                                 
YBR190W  	                                                     
YBR192W  	PYT1                                                 
YBR193C  	                                                     
YBR196C  	CDC30                                                
YBR198C  	TAF90                                                
YBR202W  	MCM7                                                 
YBR211C  	ARP100                                               
YBR233W-A	                                                     
YBR234C  	                                                     
YBR236C  	                                                     
YBR237W  	RNA5                                                 
YBR243C  	TUR1                                                 
YBR247C  	MEG1                                                 
YBR252W  	                                                     
YBR253W  	MED22                                                
YBR254C  	                                                     
YBR256C  	                                                     
YBR257W  	                                                     
YBR265W  	                                                     
YCL003W  	                                                     
YCL004W  	"YCL003W, PEL1                                        "
YCL017C  	SPL1                                                 
YCL031C  	                                                     
YCL031C  	                                                     
YCL043C  	"TRG1, MFP1                                           "
YCL052C  	                                                     
YCL053C  	                                                     
YCL054W  	                                                     
YCL059C  	                                                     
YCR012W  	                                                     
YCR012W  	                                                     
YCR013C  	                                                     
YCR013C  	                                                     
YCR035C  	                                                     
YCR052W  	                                                     
YCR054C  	                                                     
YCR057C  	"UTP1, YCR058C, YCR055C                               "
YCR072C  	                                                     
YCR093W  	"SMD6, ROS1, NOT1                                     "
YDL003W  	"SCC1, RHC21, PDS3                                    "
YDL004W  	                                                     
YDL007W  	"YTA5, YHS4                                           "
YDL008W  	                                                     
YDL014W  	LOT3                                                 
YDL015C  	                                                     
YDL016C  	                                                     
YDL017W  	"SAS1, LSD6                                           "
YDL028C  	RPK1                                                 
YDL029W  	ACT2                                                 
YDL030W  	                                                     
YDL031W  	                                                     
YDL043C  	RNA11                                                
YDL045C  	                                                     
YDL055C  	"SRB1, VIG9, MPG1                                     "
YDL058W  	INT1                                                 
YDL060W  	                                                     
YDL064W  	                                                     
YDL084W  	                                                     
YDL087C  	"EPE1, EXM2                                           "
YDL092W  	                                                     
YDL097C  	NAS4                                                 
YDL098C  	                                                     
YDL102W  	"TEX1, POL3, HPR6                                     "
YDL103C  	UAP1                                                 
YDL105W  	QRI2                                                 
YDL108W  	                                                     
YDL111C  	                                                     
YDL120W  	                                                     
YDL126C  	                                                     
YDL132W  	                                                     
YDL139C  	                                                     
YDL140C  	"SUA8, RPB220, RPB1                                   "
YDL141W  	ACC2                                                 
YDL143W  	"ANC2, TCP4                                           "
YDL145C  	"SOO1, RET1, SEC33                                    "
YDL147W  	NAS5                                                 
YDL148C  	UTP2                                                 
YDL150W  	RPC4                                                 
YDL152W  	                                                     
YDL153C  	UTP3                                                 
YDL163W  	                                                     
YDL164C  	MMS8                                                 
YDL165W  	"NOT2, DNA19                                          "
YDL166C  	                                                     
YDL193W  	                                                     
YDL195W  	WEB1                                                 
YDL196W  	                                                     
YDL205C  	                                                     
YDL207W  	"BRR3, RSS1                                           "
YDL208W  	                                                     
YDL209C  	NTC40                                                
YDL212W  	APF1                                                 
YDL217C  	                                                     
YDL220C  	EST4                                                 
YDL221W  	                                                     
YDL235C  	                                                     
YDR002W  	"SFO1, HTN1, CST20                                    "
YDR013W  	CDC101                                               
YDR016C  	                                                     
YDR021W  	                                                     
YDR023W  	                                                     
YDR037W  	GCD5                                                 
YDR041W  	                                                     
YDR044W  	                                                     
YDR045C  	                                                     
YDR047W  	HEM6                                                 
YDR050C  	                                                     
YDR050C  	                                                     
YDR052C  	"DNA52, LSD7                                          "
YDR053W  	                                                     
YDR054C  	"UBC3, DNA6                                           "
YDR060W  	NOC1                                                 
YDR062W  	"TSC1, SCS1                                           "
YDR064W  	"RPS13C, RPS13B                                       "
YDR081C  	                                                     
YDR082W  	                                                     
YDR086C  	                                                     
YDR087C  	                                                     
YDR088C  	SLT17                                                
YDR091C  	                                                     
YDR113C  	                                                     
YDR118W  	                                                     
YDR141C  	                                                     
YDR145W  	"TAF68, TAF61                                         "
YDR160W  	SHR10                                                
YDR164C  	                                                     
YDR166C  	                                                     
YDR167W  	"TAF25, TAF23                                         "
YDR168W  	SMO1                                                 
YDR170C  	                                                     
YDR172W  	"[PSI(+)], [PSI], SUP36, SUP2, SUF12, SAL3, PNM2, GST1"
YDR177W  	                                                     
YDR180W  	                                                     
YDR182W  	"ESP2, DSR1, DSC1                                     "
YDR187C  	                                                     
YDR188W  	"TCP20, TCP6, HTR3                                    "
YDR189W  	                                                     
YDR190C  	"TIP48, TIH1, TIP49A                                  "
YDR196C  	                                                     
YDR201W  	                                                     
YDR208W  	                                                     
YDR211W  	                                                     
YDR212W  	CCT1                                                 
YDR224C  	SPT12                                                
YDR224C  	SPT12                                                
YDR228C  	                                                     
YDR232W  	CYD1                                                 
YDR235W  	"SNU65, MUD16                                         "
YDR236C  	                                                     
YDR238C  	                                                     
YDR240C  	MUD10                                                
YDR243C  	                                                     
YDR246W  	                                                     
YDR267C  	                                                     
YDR280W  	                                                     
YDR288W  	                                                     
YDR292C  	                                                     
YDR299W  	                                                     
YDR301W  	YHH1                                                 
YDR302W  	                                                     
YDR303C  	                                                     
YDR308C  	MED21                                                
YDR311W  	                                                     
YDR320C-A	HSK2                                                 
YDR324C  	                                                     
YDR325W  	"YCS5, TIE1                                           "
YDR327W  	                                                     
YDR328C  	"CBF3D, MGO1                                          "
YDR331W  	                                                     
YDR339C  	UTP24                                                
YDR341C  	RRS1                                                 
YDR353W  	                                                     
YDR355C  	                                                     
YDR356W  	"NUF1, XCM1                                           "
YDR361C  	                                                     
YDR362C  	                                                     
YDR365C  	                                                     
YDR367W  	                                                     
YDR373W  	                                                     
YDR376W  	                                                     
YDR381W  	SHE11                                                
YDR390C  	UAL1                                                 
YDR394W  	"YTA2, YNT1                                           "
YDR396W  	                                                     
YDR397C  	YDR1                                                 
YDR398W  	                                                     
YDR404C  	                                                     
YDR407C  	                                                     
YDR412W  	                                                     
YDR413C  	                                                     
YDR416W  	NTC90                                                
YDR427W  	                                                     
YDR427W  	                                                     
YDR429C  	                                                     
YDR434W  	                                                     
YDR437W  	                                                     
YDR449C  	                                                     
YDR454C  	PUR5                                                 
YDR460W  	RIG2                                                 
YDR464W  	                                                     
YDR468C  	                                                     
YDR472W  	                                                     
YDR473C  	RNA3                                                 
YDR478W  	                                                     
YDR487C  	                                                     
YDR489W  	CDC105                                               
YDR498C  	                                                     
YDR499W  	"PIE1, DDC2                                           "
YDR510W  	                                                     
YDR526C  	                                                     
YDR527W  	                                                     
YDR531W  	                                                     
YEL002C  	                                                     
YEL019C  	                                                     
YEL026W  	                                                     
YEL032W  	                                                     
YEL034W  	TIF51A                                               
YEL035C  	                                                     
YEL055C  	                                                     
YEL058W  	AGM1                                                 
YER003C  	PMI                                                  
YER006W  	                                                     
YER008C  	PSL1                                                 
YER009W  	                                                     
YER012W  	                                                     
YER013W  	                                                     
YER018C  	                                                     
YER021W  	SUN2                                                 
YER022W  	MED17                                                
YER023W  	ORE2                                                 
YER025W  	SUI4                                                 
YER029C  	                                                     
YER036C  	                                                     
YER038C  	                                                     
YER043C  	                                                     
YER048W-A	                                                     
YER074W-A	                                                     
YER082C  	KRE31                                                
YER093C  	AVO3                                                 
YER094C  	SCS32                                                
YER104W  	                                                     
YER112W  	"USS1, SDB23                                          "
YER125W  	"SMM1, UBY1, NPI1, MUT2, MDP1                         "
YER126C  	                                                     
YER127W  	                                                     
YER133W  	"DIS2S1, PP1, DIS2, CID1                              "
YER136W  	SEC19                                                
YER146W  	                                                     
YER147C  	                                                     
YER148W  	"TBP1, BTF1                                           "
YER157W  	"SEC34, GRD20                                         "
YER159C  	NCB1                                                 
YER165W  	                                                     
YER168C  	TNT1                                                 
YER171W  	REM1                                                 
YER172C  	"PRP44, SNU246, SLT22, RSS1                           "
YFL002C  	                                                     
YFL005W  	SRO6                                                 
YFL008W  	CHL10                                                
YFL009W  	                                                     
YFL017C  	PAT1                                                 
YFL018W-A	                                                     
YFL022C  	                                                     
YFL024C  	                                                     
YFL029C  	CIV1                                                 
YFL035C  	                                                     
YFL035C-A	                                                     
YFL037W  	"SHE8, ARM10                                          "
YFL038C  	YP2                                                  
YFL039C  	"ABY1, END7                                           "
YFL045C  	ALG4                                                 
YFR002W  	                                                     
YFR003C  	                                                     
YFR004W  	MPR1                                                 
YFR005C  	                                                     
YFR027W  	CTF7                                                 
YFR028C  	OAF3                                                 
YFR029W  	SSY3                                                 
YFR031C  	                                                     
YFR037C  	SWH3                                                 
YFR042W  	                                                     
YFR050C  	                                                     
YFR051C  	                                                     
YFR052W  	NIN1                                                 
YGL001C  	                                                     
YGL008C  	                                                     
YGL011C  	PRC2                                                 
YGL018C  	                                                     
YGL022W  	                                                     
YGL030W  	                                                     
YGL040C  	SLU1                                                 
YGL044C  	                                                     
YGL044C  	                                                     
YGL047W  	                                                     
YGL048C  	"SUG1, SCB68, CRL3, CIM3                              "
YGL055W  	MDM2                                                 
YGL061C  	                                                     
YGL065C  	                                                     
YGL068W  	                                                     
YGL069C  	SRF3                                                 
YGL073W  	"MAS3, EXA3                                           "
YGL074C  	                                                     
YGL075C  	MMC1                                                 
YGL091C  	                                                     
YGL092W  	RAT10                                                
YGL093W  	                                                     
YGL097W  	"PRP20, MTR1                                          "
YGL097W  	"PRP20, MTR1                                          "
YGL098W  	SLT1                                                 
YGL099W  	KRE35                                                
YGL102C  	                                                     
YGL103W  	CYH2                                                 
YGL111W  	                                                     
YGL112C  	TAF60                                                
YGL113W  	                                                     
YGL116W  	PAC5                                                 
YGL120C  	JA1                                                  
YGL122C  	                                                     
YGL123W  	"SUP138, SUP44, SUP38, RPS4                           "
YGL128C  	                                                     
YGL130W  	                                                     
YGL137W  	                                                     
YGL142C  	                                                     
YGL145W  	TIP1                                                 
YGL145W  	TIP1                                                 
YGL150C  	                                                     
YGL155W  	CAL1                                                 
YGL169W  	                                                     
YGL171W  	                                                     
YGL172W  	NSP49                                                
YGL201C  	                                                     
YGL207W  	"SSF1, CDC68                                          "
YGL225W  	"VIG4, LDB3, GOG5, VAN2                               "
YGL233W  	                                                     
YGL238W  	KAP109                                               
YGL239C  	                                                     
YGL239C  	                                                     
YGL245W  	GSN1                                                 
YGL247W  	                                                     
YGR002C  	"GOD1, EAF2                                           "
YGR005C  	                                                     
YGR009C  	HSS7                                                 
YGR013W  	                                                     
YGR024C  	                                                     
YGR029W  	                                                     
YGR029W  	                                                     
YGR030C  	                                                     
YGR046W  	MMP37                                                
YGR047C  	PCF1                                                 
YGR048W  	                                                     
YGR060W  	                                                     
YGR065C  	                                                     
YGR073C  	                                                     
YGR074W  	SPP92                                                
YGR075C  	                                                     
YGR082W  	"MOM19, MAS20                                         "
YGR083C  	GCD12                                                
YGR090W  	                                                     
YGR091W  	                                                     
YGR094W  	                                                     
YGR095C  	                                                     
YGR098C  	                                                     
YGR099W  	                                                     
YGR103W  	YPH1                                                 
YGR113W  	                                                     
YGR114C  	                                                     
YGR115C  	                                                     
YGR116W  	"SSN20, CRE2                                          "
YGR119C  	                                                     
YGR120C  	SEC35                                                
YGR128C  	                                                     
YGR140W  	"CSL5, NDC10, CTF14, CEP2, CBF3A                      "
YGR145W  	                                                     
YGR147C  	                                                     
YGR156W  	                                                     
YGR158C  	                                                     
YGR172C  	                                                     
YGR175C  	                                                     
YGR179C  	                                                     
YGR185C  	"TyrRS, TTS1                                          "
YGR186W  	"RAP74, SSU71                                         "
YGR190C  	                                                     
YGR191W  	                                                     
